"Year","GDP","Population","CPI","Region","NationalCPI","Employment","rGDPpc","rGDPwk","GDPpc","rGDP","Inflation"
1949,17706.385786802,13355000,8.90510948905109,"Canada",8.90510948905109,4913000,14888.3567448299,40470.9961993086,1325.82446924763,198834.004327203,3.38983050847457
1950,19521.2214315207,13703500,9.12408759124088,"Canada",9.12408759124088,4976000,15612.9884255458,42996.902509941,1424.5427395571,213952.586889466,2.45901639344264
1951,22741.5850193088,14005000,10.0729927007299,"Canada",10.0729927007299,5097000,16120.5219028675,44294.2729546124,1623.81899459541,225767.90924966,10.4
1952,25691.4584800719,14436750,10.3649635036496,"Canada",10.3649635036496,5169000,17169.2587738591,47952.8528929214,1779.58740575766,247868.296603511,2.89855072463769
1953,26941.8373691497,14833000,10.2189781021898,"Canada",10.2189781021898,5235000,17774.2279260216,50362.0100910562,1816.34445959345,263645.122826679,-1.40845070422535
1954,27080.6549437738,15269500,10.2919708029197,"Canada",10.2919708029197,5243000,17232.0045931131,50185.7894591913,1773.51288148098,263124.09413454,0.71428571428569
1955,29855.9857187963,15681250,10.2919708029197,"Canada",10.2919708029197,5364000,18499.1677325038,54080.923565497,1903.92894181244,290090.074005326,0
1956,33583.6458844388,16070250,10.4379562043796,"Canada",10.4379562043796,5585000,20021.1831560278,57608.848453564,2089.8023294248,321745.418613155,1.41843971631208
1957,35181.068710077,16579500,10.8029197080292,"Canada",10.8029197080292,5731000,19642.4859309345,56824.741841202,2121.96198377979,325662.595491929,3.49650349650348
1958,36428.3854467734,17062250,11.0948905109489,"Canada",11.0948905109489,5706000,19243.3465622706,57542.0241644063,2135.02823172638,328334.789882102,2.7027027027027
1959,38661.7152502854,17467500,11.1678832116788,"Canada",11.1678832116788,5870000,19818.8979880996,58975.5708018962,2213.35138115273,346186.600607131,0.657894736842124
1960,40265.2623806864,17855250,11.3138686131387,"Canada",11.3138686131387,5965000,19932.1188036013,59663.5313106458,2255.09373325416,355892.964268002,1.30718954248366
1961,42026,18224500,11.4598540145985,"Canada",11.4598540145985,6055000,20122.5654622906,60565.432579276,2306.01662597053,366723.694267516,1.29032258064516
1962,45739,18570750,11.6058394160584,"Canada",11.6058394160584,6225000,21221.7241270995,63309.7724230254,2462.95922351009,394103.333333333,1.27388535031847
1963,49213,18919000,11.7518248175182,"Canada",11.7518248175182,6375000,22134.8383218553,65689.2558762635,2601.24742322533,418769.00621118,1.25786163522013
1964,53975,19277250,11.970802919708,"Canada",11.970802919708,6609000,23389.6805567285,68223.4406887873,2799.93256299524,450888.719512195,1.86335403726707
1965,59551,19633500,12.2627737226277,"Canada",12.2627737226277,6862000,24734.4704810898,70770.0708525905,3033.13214658619,485624.226190476,2.4390243902439
1966,66705,19997500,12.7737226277372,"Canada",12.7737226277372,7152000,26113.5070455235,73015.2205177373,3335.6669583698,522204.857142857,4.16666666666667
1967,71812,20363750,13.2116788321168,"Canada",13.2116788321168,7379000,26692.0087049386,73661.6604235253,3526.46246393714,543549.392265193,3.42857142857143
1968,78474,20692000,13.7226277372263,"Canada",13.7226277372263,7537000,27636.6907140595,75873.4780755366,3792.48018557897,571858.404255319,3.86740331491713
1969,86430,20994250,14.3795620437956,"Canada",14.3795620437956,7780000,28629.8115588695,77257.2520976603,4116.84151612942,601061.421319797,4.78723404255319
1970,93153,21287500,14.8175182481752,"Canada",14.8175182481752,7879000,29532.2621048338,79790.332473239,4375.94832648268,628668.02955665,3.0456852791878
1971,101665,21747318.75,15.2554744525547,"Canada",15.2554744525547,8079000,30643.6170287445,82487.4993411355,4674.82916715882,666416.507177034,2.95566502463054
1972,113521,22187094.75,15.985401459854,"Canada",15.985401459854,8329000,32007.5345111708,85262.8407867982,5116.53288901198,710154.200913242,4.78468899521529
1973,132966,22453741.5,17.2262773722628,"Canada",17.2262773722628,8759000,34376.4044092645,88124.0893144291,5921.77477415067,771878.898305085,7.76255707762559
1974,158176,22772042.75,19.1240875912409,"Canada",19.1240875912409,9137000,36321.0064433232,90522.4375014098,6946.06108624137,827103.511450382,11.0169491525424
1975,177928,23103010,21.1678832116788,"Canada",21.1678832116788,9308000,36382.9827279261,90304.7285983137,7701.50729277267,840556.413793104,10.6870229007634
1976,205986,23414353.75,22.7007299270073,"Canada",22.7007299270073,9747500,38753.9261060422,93090.3447087183,8797.42410144461,907398.135048231,7.24137931034485
1977,227601,23693935,24.5255474452555,"Canada",24.5255474452555,9917100,39166.8155645256,93577.3544829494,9605.87593407343,928015.982142857,8.0385852090032
1978,252075,23935460,26.7153284671533,"Canada",26.7153284671533,10220300,39420.9856935905,92322.0870453419,10531.4458130322,943559.426229508,8.92857142857144
1979,287608,24170164.25,29.1970802919708,"Canada",29.1970802919708,10668600,40755.0974751858,92332.3960032244,11899.2985329009,985057.4,9.28961748633876
1980,322782,24470715.25,32.1167883211679,"Canada",32.1167883211679,10984000,41070.5515739787,91499.0688935973,13190.5421113508,1005025.77272727,10
1981,368358,24784554,36.1313868613139,"Canada",36.1313868613139,11305000,41134.3241757701,90180.9711444386,14862.4018007344,1019495.87878788,12.5
1982,388181,25082944.5,40.0729927007299,"Canada",40.0729927007299,10943700,38619.2628603913,88515.2943664488,15475.8943871203,968684.826958106,10.9090909090909
1983,421316,25335950.75,42.4087591240876,"Canada",42.4087591240876,11022000,39211.6557265274,90134.6922802806,16629.1766256295,993464.578313253,5.82877959927142
1984,461986,25576735,44.2335766423358,"Canada",44.2335766423358,11301700,40834.9148309797,92412.9817089055,18062.7433485939,1044423.79537954,4.30292598967297
1985,500027,25813200,45.985401459854,"Canada",45.985401459854,11658000,42124.1962091992,93271.5990381971,19370.9807385369,1087360.3015873,3.96039603960396
1986,526630,26067486.5,47.8832116788321,"Canada",47.8832116788321,12008500,42191.3251506043,91586.9424807834,20202.5615319682,1099821.79878049,4.12698412698411
1987,574336,26397870.25,50,"Canada",50,12333000,43513.8133918209,93138.0848131031,21756.9066959104,1148672,4.42073170731709
1988,626894,26751473.75,51.970802919708,"Canada",51.970802919708,12709600,45090.6996680632,94907.9962028172,23433.9986596066,1206242.66853933,3.94160583941607
1989,671579,27214902,54.5985401459854,"Canada",54.5985401459854,12996200,45196.9680489657,94645.4391398819,24676.8847449827,1230031.05614973,5.05617977528088
1990,695501,27632360,57.2262773722628,"Canada",57.2262773722628,13086400,43982.9429247123,92871.4171013496,25169.8009145799,1215352.5127551,4.81283422459895
1991,701773,27987111.25,60.4379562043796,"Canada",60.4379562043796,12857400,41488.6029848113,90309.5608243498,25074.8637017692,1161146.147343,5.61224489795917
1992,718436,28324154.25,61.3138686131387,"Canada",61.3138686131387,12730900,41368.7517169874,92038.6543576577,25364.7820746492,1171734.9047619,1.44927536231885
1993,747037,28651462.25,62.4817518248175,"Canada",62.4817518248175,12792700,41729.3983908371,93460.1986062583,26073.2591405522,1195608.28271028,1.90476190476188
1994,791972,28960063.75,62.5547445255474,"Canada",62.5547445255474,13058700,43716.9705600434,96950.4050461171,27347.0392481439,1266046.25437573,0.11682242990656
1995,831621,29263007,63.941605839416,"Canada",63.941605839416,13295400,44445.0047905661,97822.8926020556,28418.8497784934,1300594.48630137,2.21703617269542
1996,859834,29569874.5,64.8905109489051,"Canada",64.8905109489051,13420100,44810.928122468,98736.4863756529,29078.0402196161,1325053.5208099,1.48401826484021
1997,906926,29867571.5,65.985401459854,"Canada",65.985401459854,13708200,46017.6119159635,100263.660740235,30364.9059649861,1374434.31415929,1.68728908886389
1998,940548,30123874.5,66.6423357664234,"Canada",66.6423357664234,14047000,46851.114272433,100472.491388049,31222.6768837455,1411337.08652793,0.995575221238942
1999,1007927,30367051.25,67.8102189781022,"Canada",67.8102189781022,14402000,48947.5895769977,103207.468493866,33191.4676766649,1486393.96124865,1.75246440306682
2000,1106071,30647400.25,69.6350364963504,"Canada",69.6350364963504,14760100,51827.654862816,107613.287348973,36090.2063789244,1588382.88259958,2.69106566200215
2001,1144543,30971291.25,71.3868613138686,"Canada",71.3868613138686,14932300,51767.1807271788,107371.03001499,36954.9655118109,1603296.43149284,2.51572327044025
2002,1193694,31307863.5,72.992700729927,"Canada",72.992700729927,15291300,52234.8252859861,106947.13856899,38127.6096978,1635360.78,2.24948875255624
2003,1254747,31601840.25,75.036496350365,"Canada",75.036496350365,15660800,52914.0794575157,106775.023369957,39704.871300968,1672182.28599222,2.79999999999998
2004,1335731,31899360.25,76.4233576642336,"Canada",76.4233576642336,15915000,54791.2132935302,109821.215921138,41873.2849038877,1747804.65138491,1.84824902723737
2005,1421590,32202905.75,78.1021897810219,"Canada",78.1021897810219,16123500,56521.8135793233,112889.052346824,44144.7741093985,1820166.63551402,2.19675262655206
2006,1496604,32529278,79.6350364963504,"Canada",79.6350364963504,16413700,57773.4488692021,114497.558703099,46007.9070921894,1879328.57928506,1.96261682242991
2007,1577661,32848654,81.3868613138686,"Canada",81.3868613138686,16756800,59012.2007199656,115682.669914823,48028.1779582201,1938471.3632287,2.19981668194316
2008,1657041,33199483,83.2846715328467,"Canada",83.2846715328467,16996800,59928.9759015844,117057.976598657,49911.6507326334,1989611.01665206,2.33183856502244
2009,1571334,33582177.25,83.5036496350365,"Canada",83.5036496350365,16755400,56034.3322475429,112307.368228892,46790.7124753205,1881754.87762238,0.262927256792311
2010,1666048,33959477.5,85.036496350365,"Canada",85.036496350365,16978200,57692.7381946672,115395.933881989,49059.8832093338,1959215.24463519,1.83566433566433
2011,1774063,34298530.5,87.5182481751825,"Canada",87.5182481751825,17244300,59101.0108490213,117550.600673033,51724.169348888,2027077.82318599,2.91845493562233
2012,1827201,34664148,88.8321167883212,"Canada",88.8321167883212,17475600,59338.3933159659,117702.101672438,52711.5508507522,2056914.84798685,1.50125104253545
2013,1902247,35032237.5,89.6350364963504,"Canada",89.6350364963504,17712200,60578.8788865809,119816.492171409,54299.9001990666,2122213.67263844,0.903861955628593
2014,1994898,35389233.5,91.3868613138686,"Canada",91.3868613138686,17783200,61683.0410619374,122751.560075295,56370.1951894494,2182915.54313099,1.95439739413681
2015,1990441,35676466.5,92.4087591240876,"Canada",92.4087591240876,17905900,60374.6097141171,120292.905741475,55791.4276628264,2153952.74091627,1.11821086261981
2016,2025535,36052528.75,93.7226277372263,"Canada",93.7226277372263,18008700,59945.9108525038,120008.755460129,56182.8828719816,2161201.67445483,1.4218009478673
2017,2140641,36494339.75,95.1824817518248,"Canada",95.1824817518248,18395000,61625.6203590344,122260.740782121,58656.7948526867,2248986.32668712,1.55763239875391
2018,2235675,37009338.75,97.3722627737226,"Canada",97.3722627737226,18723300,62038.6133883779,122628.385940019,60408.4016497052,2296008.05847076,2.30061349693251
2019,2313563,37555214,99.2700729927007,"Canada",99.2700729927007,19121200,62057.2816506134,121884.321729131,61604.3087918498,2330574.49264706,1.94902548725637
